OrderID,CustomerID,OrderDate,Category,Sales,Quantity,Discount,Profit
7001,39,25-04-2024,Electronics,702.14,1,0.2,235.43
7002,3,11-09-2024,Electronics,1105.81,1,0.15,383.75
7003,10,06-12-2024,Beauty,45.36,5,0.1,34.1
7004,3,01-12-2024,Electronics,865.79,7,0.05,1780.09
7005,51,19-04-2024,Clothing,118.44,3,0.15,125.13
7006,47,15-01-2024,Sports,273.04,3,0.1,248.83
7007,38,28-08-2024,Electronics,112.89,6,0,245
7008,53,18-01-2024,Electronics,754.01,5,0.05,
7009,30,12-03-2024,Beauty,110.74,4,0.1,111.9
7010,14,16-01-2024,Sports,241.88,2,0.05,148.06
7011,32,15-08-2024,Books,27.54,4,0.2,31.64
7012,24,26-09-2024,Home & Kitchen,374.14,5,0.1,686.32
7013,14,26-02-2024,Clothing,55.17,1,0.05,9.23
7014,42,04-10-2024,Beauty,75.84,3,0.2,61.42
7015,64,14-07-2024,Electronics,85.55,4,0,100.11
7016,25,24-03-2024,Clothing,121.68,1,0,34.81
7017,1,17-06-2024,Electronics,636.93,7,0.05,1514.78
7018,33,27-08-2024,Clothing,122.48,7,0.1,338.58
7019,30,24-02-2024,Books,33.64,2,0,14.49
7020,59,17-10-2024,Clothing,49.84,2,0.05,17.86
7021,29,29-11-2024,Clothing,28.79,7,0.1,37.8
7022,69,19-02-2024,Electronics,91.98,1,0.05,18.54
7023,43,15-08-2024,Books,45.09,4,0.05,54.17
7024,36,28-02-2024,Home & Kitchen,314.83,5,0.1,229.54
7025,49,08-12-2024,Sports,142.58,4,0.05,120.02
7026,62,07-08-2024,Home & Kitchen,82.08,3,0,99.6
7027,68,29-05-2024,Beauty,23.63,7,0.05,64.84
7028,53,25-02-2024,Beauty,68.78,1,0.1,21.78
7029,28,09-04-2024,Clothing,59.71,3,0.05,41.61
7030,12,08-10-2024,Electronics,162.91,7,0.05,453.68
7031,49,01-11-2024,Clothing,69.59,5,0,144.37
7032,37,20-07-2024,Electronics,288.11,7,0.1,465.65
7033,10,27-05-2024,Clothing,92.52,1,0.1,26.36
7034,31,19-04-2024,Books,30.38,4,0,19.96
7035,12,07-01-2024,Clothing,88.05,6,0.15,142.74
7036,19,26-10-2024,Home & Kitchen,194.74,5,0.15,329.29
7037,48,27-10-2024,Books,9.12,5,0.05,8.18
7038,59,19-04-2024,Sports,255.78,3,0.1,125.63
7039,20,18-07-2024,Sports,240.2,4,0.3,201.53
7040,29,12-04-2024,Electronics,1134.44,5,0.15,-1940.25
7041,57,26-12-2024,Electronics,683.6,6,0.1,1510.31
7042,39,20-07-2024,Clothing,145.99,5,0,227.81
7043,25,20-03-2024,Books,55.85,6,0.15,64.32
7044,28,08-09-2024,Beauty,9.86,6,0.1,11.88
7045,69,10-02-2024,Beauty,91.77,1,0.05,35.4
7046,18,26-07-2024,Books,52.78,7,0,56.48
